最好的一次組合是第443次 0.0005	30	64	1024	1024	0.3	0.95	0	0.99	1228795.066
alpha,n_epochs,batch_size,layer1_size,layer2_size,policy_clip,gamma,entropy,gae_lambda,final_reward
0.0005,10,64,256,1024,0.1,0.995,0.0,0.99,1090089.4768748502
0.0005,10,64,256,1024,0.1,0.995,0.01,0.95,1096580.3348330383
0.0005,10,64,256,1024,0.1,0.995,0.01,0.99,1181587.3321468898
0.0005,10,64,256,1024,0.3,0.95,0.0,0.95,1053355.9675788702
0.0005,10,64,256,1024,0.3,0.95,0.0,0.99,1156179.8260272203
0.0005,10,64,256,1024,0.3,0.95,0.01,0.95,1088684.077776719
0.0005,10,64,256,1024,0.3,0.95,0.01,0.99,1060171.5658766204
0.0005,10,64,256,1024,0.3,0.995,0.0,0.95,1072421.7638715398
0.0005,10,64,256,1024,0.3,0.995,0.0,0.99,1061500.9168551099
0.0005,10,64,256,1024,0.3,0.995,0.01,0.95,1134746.7062121998
0.0005,10,64,256,1024,0.3,0.995,0.01,0.99,990739.3956344802
0.0005,10,64,1024,256,0.1,0.95,0.0,0.95,1032154.3606381402
0.0005,10,64,1024,256,0.1,0.95,0.0,0.99,1004260.2794266003
0.0005,10,64,1024,256,0.1,0.95,0.01,0.95,1089253.442970611
0.0005,10,64,1024,256,0.1,0.95,0.01,0.99,1083578.8619138685
0.0005,10,64,1024,256,0.1,0.995,0.0,0.95,1083108.7241932496
0.0005,10,64,1024,256,0.1,0.995,0.0,0.99,1060074.74881071
0.0005,10,64,1024,256,0.1,0.995,0.01,0.95,1044950.6248907296
0.0005,10,64,1024,256,0.1,0.995,0.01,0.99,1032488.3918030104
0.0005,10,64,1024,256,0.3,0.95,0.0,0.95,1073802.55344141
0.0005,10,64,1024,256,0.3,0.95,0.0,0.99,1023841.7183522205
0.0005,10,64,1024,256,0.3,0.95,0.01,0.95,1095806.746524679
0.0005,10,64,1024,256,0.3,0.95,0.01,0.99,1148285.0223594194
0.0005,10,64,1024,256,0.3,0.995,0.0,0.95,1065656.94464623
0.0005,10,64,1024,256,0.3,0.995,0.0,0.99,1087149.2259239196
0.0005,10,64,1024,256,0.3,0.995,0.01,0.95,1119613.7580524397
0.0005,10,64,1024,256,0.3,0.995,0.01,0.99,1037817.6632985695
0.0005,10,64,1024,1024,0.1,0.95,0.0,0.95,1088645.2290544
0.0005,10,64,1024,1024,0.1,0.95,0.0,0.99,1046075.4653509399
0.0005,10,64,1024,1024,0.1,0.95,0.01,0.95,1169941.3835422404
0.0005,10,64,1024,1024,0.1,0.95,0.01,0.99,1100234.0762922391
0.0005,10,64,1024,1024,0.1,0.995,0.0,0.95,1057192.1796248201
0.0005,10,64,1024,1024,0.1,0.995,0.0,0.99,1040934.4325688988
0.0005,10,64,1024,1024,0.1,0.995,0.01,0.95,1220188.6462916373
0.0005,10,64,1024,1024,0.1,0.995,0.01,0.99,1050128.0875154105
0.0005,10,64,1024,1024,0.3,0.95,0.0,0.95,1137513.3556439192
0.0005,10,64,1024,1024,0.3,0.95,0.0,0.99,1094738.1384866002
0.0005,10,64,1024,1024,0.3,0.95,0.01,0.95,1038407.8028108883
0.0005,10,64,1024,1024,0.3,0.95,0.01,0.99,953211.8303955789
0.0005,10,64,1024,1024,0.3,0.995,0.0,0.95,1074516.4782897688
0.0005,10,64,1024,1024,0.3,0.995,0.0,0.99,1101405.7811413503
0.0005,10,64,1024,1024,0.3,0.995,0.01,0.95,1154997.596946859
0.0005,10,64,1024,1024,0.3,0.995,0.01,0.99,1116451.8424789612
0.0005,10,256,256,256,0.1,0.95,0.0,0.95,1114629.4428805597
0.0005,10,256,256,256,0.1,0.95,0.0,0.99,1084382.2054885393
0.0005,10,256,256,256,0.1,0.95,0.01,0.95,1140462.7124665498
0.0005,10,256,256,256,0.1,0.95,0.01,0.99,1045098.4102239806
0.0005,10,256,256,256,0.1,0.995,0.0,0.95,1079908.697296339
0.0005,10,256,256,256,0.1,0.995,0.0,0.99,1123448.51890781
0.0005,10,256,256,256,0.1,0.995,0.01,0.95,1130989.0771295899
0.0005,10,256,256,256,0.1,0.995,0.01,0.99,1075916.7980861901
0.0005,10,256,256,256,0.3,0.95,0.0,0.95,1099533.9697739205
0.0005,10,256,256,256,0.3,0.95,0.0,0.99,1025393.51781506
0.0005,10,256,256,256,0.3,0.95,0.01,0.95,1078931.6946435214
0.0005,10,256,256,256,0.3,0.95,0.01,0.99,1102256.1683195594
0.0005,10,256,256,256,0.3,0.995,0.0,0.95,1077539.82316327
0.0005,10,256,256,256,0.3,0.995,0.0,0.99,1082754.8333562093
0.0005,10,256,256,256,0.3,0.995,0.01,0.95,1039834.84067732
0.0005,10,256,256,256,0.3,0.995,0.01,0.99,1073812.7818285106
0.0005,10,256,256,1024,0.1,0.95,0.0,0.95,1016229.5548048001
0.0005,10,256,256,1024,0.1,0.95,0.0,0.99,1021013.7864163007
0.0005,10,256,256,1024,0.1,0.95,0.01,0.95,1094385.5686556592
0.0005,10,256,256,1024,0.1,0.95,0.01,0.99,1041631.3795151401
0.0005,10,256,256,1024,0.1,0.995,0.0,0.95,1126241.5445046904
